id,state,name,no_underground,no_prod_tons_under,no_surface,no_prod_tons_surf,total_mines,total_prod_tons
0,Alabama,Bibb,0,0,1,63,1,63000
0,Alabama,Franklin,0,0,2,147,2,147000
0,Alabama,Jackson,0,0,1,4,1,4000
0,Alabama,Jefferson,4,5214,7,1356,11,6570000
0,Alabama,Shelby,1,138,1,138,2,276000
0,Alabama,Tuscaloosa,1,2417,4,102,5,2519000
0,Alabama,Walker,2,2128,11,1192,13,3320000
0,Alabama,Winston,0,0,2,292,2,292000
0,Alaska,Denali,0,0,1,1177,1,1177000
0,Arizona,Navajo,0,0,1,6805,1,6805000
0,Arkansas,Sebastian,1,91,1,0,2,91000
0,Colorado,Delta,1,1023,0,0,1,1023000
0,Colorado,Gunnison,1,5075,0,0,1,5075000
0,Colorado,La Plata,1,815,0,0,1,815000
0,Colorado,Moffat,0,0,2,4441,2,4441000
0,Colorado,Montrose,0,0,1,238,1,238000
0,Colorado,Rio Blanco,1,2106,1,1058,2,3164000
0,Colorado,Routt,1,4122,0,0,1,4122000
0,Illinois,Franklin,1,10588,0,0,1,10588000
0,Illinois,Gallatin,0,0,1,1101,1,1101000
0,Illinois,Hamilton,1,5816,0,0,1,5816000
0,Illinois,Jackson,0,0,1,23,1,23000
0,Illinois,Macoupin,1,2011,0,0,1,2011000
0,Illinois,Montgomery,1,1877,0,0,1,1877000
0,Illinois,Perry,1,3353,2,339,3,3692000
0,Illinois,Randolph,2,1958,2,1020,4,2978000
0,Illinois,Saline,3,10250,2,734,5,10984000
0,Illinois,Sangamon,1,2155,0,0,1,2155000
0,Illinois,Wabash,0,0,1,910,1,910000
0,Illinois,Washington,1,5954,0,0,1,5954000
0,Illinois,White,1,2373,0,0,1,2373000
0,Illinois,Williamson,1,5638,0,0,1,5638000
0,Indiana,Clay,0,0,1,290,1,290000
0,Indiana,Daviess,0,0,1,1014,1,1014000
0,Indiana,Dubois,0,0,2,1369,2,1369000
0,Indiana,Gibson,3,7979,2,2338,5,10317000
0,Indiana,Greene,1,3,0,0,1,3000
0,Indiana,Knox,3,6273,1,113,4,6386000
0,Indiana,Pike,1,19,3,1633,4,1652000
0,Indiana,Sullivan,1,1334,1,7878,2,9212000
0,Indiana,Warrick,0,0,4,4055,4,4055000
0,Kansas,Linn,0,0,1,199,1,199000
0,Kentucky,Bell,4,693,8,784,12,1477000
0,Kentucky,Breathitt,0,0,3,270,3,270000
0,Kentucky,Daviess,0,0,1,335,1,335000
0,Kentucky,Floyd,10,1586,8,806,18,2392000
0,Kentucky,Harlan,11,2640,11,1153,22,3793000
0,Kentucky,Hopkins,2,6845,0,0,2,6845000
0,Kentucky,Johnson,0,0,5,122,5,122000
0,Kentucky,Knott,3,1652,4,1046,7,2698000
0,Kentucky,Knox,2,64,8,329,10,393000
0,Kentucky,Laurel,0,0,2,7,2,7000
0,Kentucky,Lawrence,1,115,4,258,5,373000
0,Kentucky,Leslie,3,668,2,694,5,1362000
0,Kentucky,Letcher,4,252,12,298,16,550000
0,Kentucky,Magoffin,0,0,2,258,2,258000
0,Kentucky,Martin,1,868,3,477,4,1345000
0,Kentucky,Mclean,1,843,0,0,1,843000
0,Kentucky,Muhlenberg,3,3568,0,0,3,3568000
0,Kentucky,Ohio,2,2540,5,4209,7,6749000
0,Kentucky,Perry,6,1782,13,4488,19,6270000
0,Kentucky,Pike,24,4178,26,2120,50,6298000
0,Kentucky,Union,1,9114,0,0,1,9114000
0,Kentucky,Webster,2,5871,0,0,2,5871000
