id,State,no_mines_2015,no_mines_2014,chg_no_mines,no_employ_2015,no_employ_2014,chg_no_employ,avg_prod_empl_hr_2015,avg_prod_empl_hr_2014,chg_prod_empl_hr
01,Alabama,45,46,-2.2,3212,3694,-13,1.69,1.88,-10
02,Alaska,1,1,0,113,120,-5.8,4.62,5.43,-15
04,Arizona,1,1,0,403,387,4.1,6.97,8.06,-13.5
05,Arkansas,2,2,0,75,84,-10.7,0.56,0.53,5.7
08,Colorado,9,10,-10,1642,1822,-9.9,5.54,6.23,-11
17,Illinois,31,32,-3.1,4146,4218,-1.7,6.09,5.99,1.6
18,Indiana,30,37,-18.9,3311,3810,-13.1,4.38,4.21,4
20,Kansas,1,2,-50,7,10,-30,12.26,3.86,217.9
21,Kentucky,307,356,-13.8,9821,11834,-17,2.92,2.8,4
22,Louisiana,2,2,0,307,299,2.7,5.23,3.96,32.2
24,Maryland,19,21,-9.5,359,386,-7,2.56,2.36,8.6
28,Mississippi,2,2,0,330,324,1.9,5.59,5.71,-2
29,Missouri,1,1,0,15,20,-25,3.52,7.11,-50.5
30,Montana,6,6,0,1330,1320,0.8,15.76,16.57,-4.8
35,New Mexico,3,3,0,1130,1149,-1.7,8.55,9.21,-7.2
38,North Dakota,4,5,-20,1261,1285,-1.9,11.79,11.48,2.7
39,Ohio,34,38,-10.5,2309,2923,-21,3.59,3.38,6.3
40,Oklahoma,5,6,-16.7,161,179,-10.1,1.84,1.87,-1.4
42,Pennsylvania,258,300,-14,6633,7938,-16.4,3.61,3.52,2.4
47,Tennessee,12,10,20,276,222,24.3,1.69,1.85,-8.5
48,Texas,14,16,-12.5,2689,2806,-4.2,6.28,7.22,-13
49,Utah,17,17,0,1211,1393,-13.1,5.66,5.97,-5.2
51,Virginia,89,101,-11.9,2993,3627,-17.5,2.16,1.92,12.4
54,West Virginia,234,288,-18.8,15490,18330,-15.5,2.77,2.69,3.2
56,Wyoming,16,18,-11.1,6635,6624,0.2,27.38,28.62,-4.3
