id,state,cty_name,votes_2012,votes_2016,change_repub
39001,OH,Adams,6691,8445,0.26
39003,OH,Allen,28802,29858,0.04
39005,OH,Ashland,15225,17169,0.13
39007,OH,Ashtabula,17890,22755,0.27
39009,OH,Athens,8118,10816,0.33
39011,OH,Auglaize,16802,18130,0.08
39013,OH,Belmont,16418,20729,0.26
39015,OH,Brown,11671,14257,0.22
39017,OH,Butler,102226,104441,0.02
39019,OH,Carroll,7177,9067,0.26
39021,OH,Champaign,11852,12314,0.04
39023,OH,Clark,31116,34311,0.10
39025,OH,Clermont,62527,65960,0.05
39027,OH,Clinton,11740,13466,0.15
39029,OH,Columbiana,24778,31086,0.25
39031,OH,Coshocton,8312,10381,0.25
39033,OH,Crawford,11561,13265,0.15
39035,OH,Cuyahoga,184475,179894,-0.02
39037,OH,Darke,17745,19698,0.11
39039,OH,Defiance,9935,11478,0.16
39041,OH,Delaware,58980,55660,-0.06
39043,OH,Erie,16655,19301,0.16
39045,OH,Fairfield,40134,43163,0.08
39047,OH,Fayette,6456,7763,0.20
39049,OH,Franklin,207941,192328,-0.08
39051,OH,Fulton,11521,13419,0.16
39053,OH,Gallia,5912,9567,0.62
39055,OH,Geauga,30104,29577,-0.02
39057,OH,Greene,48683,47506,-0.02
39059,OH,Guernsey,8811,11164,0.27
39061,OH,Hamilton,188653,169972,-0.10
39063,OH,Hancock,22077,23777,0.08
39065,OH,Hardin,7337,8541,0.16
39067,OH,Harrison,3936,5021,0.28
39069,OH,Henry,8111,9136,0.13
39071,OH,Highland,11032,13005,0.18
39073,OH,Hocking,6150,8282,0.35
39075,OH,Holmes,8563,8578,0.00
39077,OH,Huron,12821,15930,0.24
39079,OH,Jackson,7651,9618,0.26
39081,OH,Jefferson,16729,20668,0.24
39083,OH,Knox,16873,18563,0.10
39085,OH,Lake,57150,62627,0.10
39087,OH,Lawrence,14371,18240,0.27
39089,OH,Licking,43604,49346,0.13
39091,OH,Logan,13323,15586,0.17
39093,OH,Lorain,58095,65346,0.12
39095,OH,Lucas,68100,74102,0.09
39097,OH,Madison,10215,11319,0.11
39099,OH,Mahoning,41702,52808,0.27
39101,OH,Marion,13938,16563,0.19
39103,OH,Medina,49464,53811,0.09
39105,OH,Meigs,5782,6869,0.19
39107,OH,Mercer,16207,17200,0.06
39109,OH,Miami,33650,36311,0.08
39111,OH,Monroe,3540,4781,0.35
39113,OH,Montgomery,121188,120766,0.00
39115,OH,Morgan,3136,4315,0.38
39117,OH,Morrow,9662,11722,0.21
39119,OH,Muskingum,18826,23588,0.25
39121,OH,Noble,3498,4441,0.27
